Range,Step,Speed,x,y,Best_signal,Order
1.0,0.01,1000.0,-24996.67,5001.35,0.85,1
2.0,0.02,1000.0,-24996.69,5001.40,0.88,1
2.0,0.03,1000.0,-24996.48,5001.52,0.86,1
2.0,0.05,1000.0,-24996.57,5001.17,0.88,1
2.0,0.05,1000.0,-24996.98,5001.30,0.79,2
3.0,0.1,1000.0,-24996.74,5001.60,0.84,1
5.0,0.1,1000.0,-24997.24,5001.31,0.93,1
5.0,0.2,1000.0,-24997.08,5001.14,0.76,1
5.0,0.2,1000.0,-24996.61,5001.79,0.83,2
6.0,0.2,1000.0,-25002.27,5001.11,0.58,1
6.0,0.2,1000.0,-25001.80,5000.97,0.62,2
6.0,0.2,1000.0,-25000.48,5001.23,0.73,3
6.0,0.2,1000.0,-25000.57,5001.06,0.73,4
6.0,0.2,1000.0,-24999.25,5001.32,0.66,5
6.0,0.2,1000.0,-24998.99,5001.17,0.81,6
6.0,0.2,1000.0,-24997.12,5001.43,0.79,7
6.0,0.2,1000.0,-24997.06,5001.07,0.85,8
8.0,0.2,1000.0,-25005.33,4999.01,0.78,1
8.0,0.2,1000.0,-25004.30,5000.26,1.68,2
8.0,0.2,1000.0,-25002.88,5000.40,1.40,3
8.0,0.2,1000.0,-25002.60,5001.25,1.83,4
8.0,0.2,1000.0,-25003.04,5001.10,0.40,5
10.0,0.2,1000.0,-25005.18,4998.74,0.87,1
15.0,0.3,1000.0,-25009.15,5001.78,0.12,1
15.0,0.3,1000.0,-25009.53,5000.30,0.12,2
15.0,0.3,1000.0,-25009.56,4999.41,0.12,3
15.0,0.3,1000.0,-25010.35,4999.69,0.17,4
15.0,0.3,1000.0,-25008.79,4999.46,1.34,5
15.0,0.3,1000.0,-25005.06,5000.09,4.97,6
20.0,1.0,650.0,-25008.69,5003.56,0.10,1
20.0,1.0,650.0,-25008.83,5001.52,0.11,2
20.0,1.0,650.0,-25011.26,5000.43,0.11,3
20.0,1.0,1000.0,-25008.89,5001.41,0.10,1
20.0,1.0,1000.0,-25009.01,5002.51,0.10,2
20.0,1.0,1000.0,-25008.73,5001.56,0.10,3
20.0,1.0,1000.0,-25009.80,5001.56,0.10,4
20.0,1.0,1000.0,-25008.98,5002.48,0.10,5
20.0,1.0,1000.0,-25008.58,5001.56,0.11,6
20.0,1.0,1500.0,-25007.89,5003.53,0.10,1
20.0,1.0,1500.0,-25008.88,5002.56,0.10,2
20.0,1.0,1500.0,-25010.51,5001.60,0.09,3
20.0,1.0,1500.0,-25008.87,5002.50,0.09,4
20.0,1.0,1500.0,-25008.91,5000.51,0.10,5